       Dirección Corporativa de Administración y Servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Subdirección de Servicios de Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Gerencia de Prevención Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Morbilidad en Petróleos Mexicanos 2016 (Casos Nuevos Notificados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casos,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De 00 años,,,De 01 a 04 años,,Total De 01 a 04 años,De 05 a 09 años,,Total De 05 a 09 años,De 10 a 14 años,,Total De 10 a 14 años,De 15 a 19 años,,Total De 15 a 19 años,De 20 a 24 años,,Total De 20 a 24 años,De 25 a 44 años,,Total De 25 a 44 años,De 45 a 49 años,,Total De 45 a 49 años,De 50 a 59 años,,Total De 50 a 59 años,De 60 a 64 años,,Total De 60 a 64 años,De 65 y más años,,Total De 65 y más años,Total general
"Neumonías y bronconeumonías(J12-J18 EXCEPTO J18.2, J13 y J14)",1,4,5,7,8,15,5,,5,1,5,6,4,2,6,3,4,7,55,95,150,29,48,77,70,121,191,47,70,117,198,215,413,992
Obesidad(E66),,1,1,2,7,9,48,60,108,92,100,192,49,36,85,19,29,48,152,135,287,83,56,139,117,99,216,43,35,78,44,33,77,1240
Otitis media aguda(H65.0-H65.1),13,16,29,61,71,132,59,52,111,55,44,99,32,32,64,18,24,42,127,122,249,84,68,152,110,94,204,37,42,79,57,40,97,1258
"Otras helmintiasis(B65-B67, B70-B76, B78, B79, B81-B83 EXCEPTO B73 y B75)",1,3,4,54,58,112,70,84,154,70,78,148,28,26,54,7,8,15,54,40,94,28,23,51,42,42,84,20,23,43,32,32,64,823
"Otras hepatitis víricas(B17-B19 EXCEPTO B17.1, B18.2)",,,,1,,1,,,,,,,1,1,2,,,,,3,3,,,,,1,1,,,,1,0,1,8
"Otras infecciones intestinales debidas a protozoarios(A07.0, A07.2, A07.9)",,,,1,,1,1,,1,1,1,2,1,2,3,1,2,3,3,3,6,2,2,4,3,1,4,,1,1,2,1,3,28
Otras salmonelosis(A02),,,,2,,2,1,1,2,8,4,12,2,3,5,3,2,5,23,6,29,7,4,11,6,4,10,6,2,8,3,5,8,92
Parálisis flácida aguda(U98),,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,0,0,0,1
Parotiditis infecciosa(B26),,,,1,2,3,2,4,6,2,4,6,1,,1,,,,5,2,7,2,,2,3,5,8,1,3,4,0,1,1,38
Peatón lesionado en accidente de transporte(V01-V09),,,,,2,2,,1,1,1,1,2,,,,,,,3,4,7,1,1,2,1,,1,,3,3,3,3,6,24
Quemaduras(T20-T32),1,,1,12,9,21,8,5,13,10,21,31,12,16,28,12,8,20,100,145,245,44,38,82,61,59,120,27,20,47,48,45,93,701
Sífilis adquirida(A51-A53),,,,,,,,,,,,,,,,,1,1,,3,3,,1,1,,,,,,,0,0,0,5
Síndrome coqueluchoide(U99),1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
"Síndrome meníngeo(G00-G03 EXCEPTO G00.0, G00.1)",,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,0,1,2
Tifo epidémico(A75.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
Tricomoniasis urogenital(A59.0),,,,,,,,,,,,,,,,,,,3,,3,3,,3,,,,,,,0,0,0,6
"Tuberculosis otras formas(A17.1, A17.8, A17.9, A18-A19)",,,,,,,,,,,,,1,,1,,,,2,,2,,,,1,,1,,,,3,1,4,8
Tuberculosis respiratoria(A15-A16),,,,,,,,,,,,,,1,1,,,,2,2,4,2,1,3,4,10,14,3,6,9,9,7,16,47
Tumor maligno de la mama(C50),,,,,,,,,,,,,,,,,,,22,,22,10,,10,43,1,44,18,,18,62,4,66,160
Tumor maligno del cuello del útero(C53),,,,,,,,,,,,,,,,,,,7,,7,2,,2,,,,2,,2,7,0,7,18
"Úlceras, gastritis y duodenitis(K25-K29)",1,,1,3,4,7,19,14,33,89,76,165,96,82,178,103,63,166,448,278,726,146,133,279,248,191,439,117,106,223,259,228,487,2704
Varicela(B01),2,5,7,28,27,55,28,25,53,20,17,37,3,11,14,1,1,2,12,19,31,2,4,6,1,4,5,,2,2,1,0,1,213
Violencia intrafamiliar(Y07.0-Y07.2),,,,1,,1,,,,,,,,,,1,,1,1,1,2,1,,1,1,,1,,,,0,0,0,6
Vulvovaginitis(N76),,,,,,,5,,5,3,,3,9,,9,21,,21,124,,124,49,,49,84,,84,21,,21,43,0,43,359
Total general,960,1096,2056,4881,5106,9987,5701,5751,11452,5029,5204,10233,3893,3327,7220,2366,1912,4278,22007,22242,44249,9111,8474,17585,17197,14662,31859,7142,5663,12805,17244,13748,30992,182716
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: SINAVE/PEMEX. Cubos dinámicos. SUIVE 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Dirección Corporativa de Administración y Servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Subdirección de Servicios de Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Gerencia de Prevención Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Morbilidad en Petróleos Mexicanos 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casos,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De 00 años,,,De 01 a 04 años,,Total De 01 a 04 años,De 05 a 09 años,,Total De 05 a 09 años,De 10 a 14 años,,Total De 10 a 14 años,De 15 a 19 años,,Total De 15 a 19 años,De 20 a 24 años,,Total De 20 a 24 años,De 25 a 44 años,,Total De 25 a 44 años,De 45 a 49 años,,Total De 45 a 49 años,De 50 a 59 años,,Total De 50 a 59 años,De 60 a 64 años,,Total De 60 a 64 años,De 65 y más años,,Total De 65 y más años,Total
Padecimiento,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,
"Accidentes de transporte en vehículos con motor(V20-V29, V40-V79)",,,,,1,1,2,5,7,4,9,13,7,15,22,4,5,9,61,98,159,19,17,36,25,28,53,4,10,14,7,12,19,333
"Amebiasis intestinal(A06.0-A06.3, A06.9)",2,1,3,10,14,24,13,9,22,7,5,12,3,3,6,1,2,3,9,14,23,6,8,14,8,8,16,5,6,11,5,9,14,148
"Anorexia, bulimia y otros trastornos alimentarios(F50)",,,,3,1,4,3,1,4,9,1,10,9,,9,1,,1,2,,2,,1,1,3,1,4,,1,1,0,1,1,37
Ascariasis(B77),,,,,,,1,2,3,1,,1,,,,,,,,,,,,,,1,1,1,,1,1,0,1,7
"Asma(J45, J46)",1,,1,18,23,41,22,39,61,11,28,39,16,13,29,5,3,8,40,11,51,10,4,14,38,9,47,9,7,16,41,12,53,360
Bocio endémico(E01),,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,0,0,0,1
Candidiasis urogenital(B37.3-B37.4),,,,,,,,,,3,,3,5,,5,5,1,6,50,5,55,18,2,20,19,7,26,11,2,13,21,1,22,150
Cirrosis hepática alcohólica(K70.3),,,,,,,,,,,,,,,,,,,1,1,2,,1,1,1,5,6,,5,5,0,11,11,25
Conjuntivitis(H10),18,35,53,38,39,77,87,81,168,59,75,134,54,68,122,45,31,76,473,551,1024,219,240,459,443,407,850,199,187,386,424,375,799,4148
"Contacto traumático con avispas, avispones y abejas(X23)",1,,1,,,,,1,1,4,1,5,2,1,3,,,,3,7,10,1,5,6,2,6,8,,1,1,0,1,1,36
COVID-19(U07.1-U07.2),12,34,46,90,114,204,167,185,352,320,350,670,386,391,777,284,259,543,4232,5419,9651,1635,2002,3637,2388,2865,5253,928,1018,1946,2265,2436,4701,27780
Dengue con signos de alarma(A97.1),1,1,2,,,,4,2,6,4,8,12,2,2,4,2,1,3,13,7,20,1,1,2,9,7,16,1,1,2,3,5,8,75
Dengue grave(A97.2),,,,,1,1,1,,1,1,6,7,1,1,2,,,,1,,1,1,,1,,,,,,,0,0,0,13
"Dengue no grave(A97.0, A97.9)",2,1,3,8,11,19,19,18,37,22,33,55,8,10,18,,6,6,29,50,79,9,5,14,8,17,25,4,3,7,5,10,15,278
Depresión(F32),,,,,,,1,1,2,5,7,12,13,8,21,10,2,12,24,9,33,12,5,17,18,8,26,14,6,20,51,9,60,203
Desnutrición leve(E44.1),,1,1,3,3,6,5,4,9,3,,3,2,,2,1,,1,,1,1,,,,,,,4,,4,1,1,2,29
Desnutrición moderada(E44.0),,,,,,,3,,3,,,,1,1,2,,,,1,,1,,,,,,,,1,1,2,1,3,10
Desnutrición severa(E40-E43),,,,1,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,1,2,3,5
Diabetes mellitus en el embarazo(O24.4),,,,,,,,,,,,,,,,1,,1,54,,54,,,,,,,,,,0,0,0,55
Diabetes mellitus tipo 1(E10),,,,,,,,,,1,1,2,1,,1,,,,,,,,,,,,,,,,1,0,1,4
Diabetes mellitus tipo 2(E11-E14),,,,,,,,,,2,,2,4,5,9,2,4,6,158,136,294,112,94,206,267,219,486,101,92,193,172,122,294,1490
Displasia cervical leve y moderada(N87.0-N87.1),,,,,,,,,,,,,,,,6,,6,35,,35,22,,22,18,,18,5,,5,5,0,5,91
"Displasia cervical severa y CaCu in situ(N87.2, D06)",,,,,,,,,,,,,,,,2,,2,12,,12,3,,3,6,,6,6,,6,6,0,6,35
"Edema, proteinuria y transtornos hipertensivos en el embarazo, parto y puerperio(O10-O16)",,,,,,,,,,,,,,,,,,,8,,8,1,,1,,,,,,,0,0,0,9
"Efectos del calor y de la luz(T67, X30)",,,,,,,1,,1,1,2,3,,,,,,,1,2,3,1,1,2,3,2,5,,1,1,2,2,4,19
Enfermedad alcohólica del hígado(K70 EXCEPTO K70.3),,,,,,,,,,,,,,,,1,,1,1,3,4,1,5,6,1,21,22,,8,8,3,23,26,67
"Enfermedad cerebrovascular(I60-I67, I69)",,1,1,,1,1,3,,3,1,,1,,2,2,3,3,6,16,14,30,13,23,36,58,76,134,38,63,101,312,334,646,961
Enfermedad de Alzheimer(G30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,3
Enfermedad de Parkinson(G20),,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,1,1,8,16,24,27
Enfermedad isquémica del corazón(I20-I25),,,,,,,,,,,,,,,,2,,2,14,30,44,18,41,59,65,117,182,54,75,129,225,287,512,928
Enterobiasis(B80),,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Erisipela(A46),,,,,,,,,,,,,,,,,,,1,2,3,1,1,2,2,5,7,2,3,5,17,9,26,43
Escabiosis(B86),1,2,3,7,15,22,19,22,41,9,18,27,14,14,28,2,3,5,29,12,41,9,5,14,18,21,39,8,5,13,24,15,39,272
Escarlatina(A38),,,,1,2,3,,1,1,,,,,,,,,,,,,,,,,,,,,,0,0,0,4
"Eventos supuestamente asociados a la vacunación (ESAVI)(Y58, Y59)",1,1,2,2,1,3,,,,1,2,3,3,5,8,5,2,7,62,50,112,20,18,38,33,25,58,5,5,10,17,5,22,263
"Faringitis y amigdalitis estreptocócicas(J02.0, J03.0)",,,,1,,1,1,2,3,,,,,,,,2,2,3,1,4,1,,1,2,3,5,1,,1,1,0,1,18
Fiebre paratifoidea(A01.1-A01.4),,,,,,,,1,1,3,1,4,,1,1,,,,4,,4,,1,1,2,1,3,1,,1,3,0,3,18
Fiebre tifoidea(A01.0),,,,1,,1,1,,1,2,2,4,3,1,4,1,,1,6,1,7,1,1,2,9,5,14,1,1,2,1,0,1,37
Giardiasis(A07.1),,,,1,1,2,,1,1,1,1,2,,,,,,,,,,,,,,,,,,,0,1,1,6
Gingivitis y enfermedad periodontal(K05),,,,28,25,53,87,87,174,137,106,243,150,125,275,112,69,181,638,402,1040,235,173,408,559,411,970,321,241,562,688,615,1303,5209
Hepatitis vírica A(B15),,,,,,,,,,1,,1,,,,,,,4,2,6,,,,,,,,,,0,1,1,8
Hepatitis vírica B(B16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1
"Hepatitis vírica C(B17.1, B18.2)",,,,,,,,,,,,,,,,,,,,3,3,1,2,3,1,1,2,,,,2,1,3,11
Herida por arma de fuego y punzocortantes(W32-W34),,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,0,0,0,2
Herpes genital(A60.0),,,,,,,,,,,,,,,,,,,,2,2,,2,2,3,5,8,,2,2,1,0,1,15
Hiperplasia de la próstata(N40),,,,,,,,,,,,,,,,,,,,,,,9,9,,149,149,,38,38,0,116,116,312
Hipertensión arterial(I10-I15),,,,,,,,,,,,,2,8,10,3,6,9,190,204,394,150,145,295,300,307,607,112,116,228,297,193,490,2033
Infección asociada a la atención de la salud(S/C),,,,,,,,,,1,,1,,,,,,,9,3,12,3,4,7,7,17,24,7,9,16,21,20,41,101
"Infección de vías urinarias(N30, N34, N39.0)",27,16,43,288,85,373,472,171,643,329,118,447,433,148,581,267,86,353,2894,813,3707,1304,421,1725,2781,948,3729,1390,556,1946,4279,1814,6093,19640
Infección gonocócica del tracto genitourinario(A54.0-A54.2),,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,0,0,0,1
"Infección por el virus de la inmunodeficiencia humana(B20-B24, Z21)",,,,,,,,,,,,,,,,,5,5,3,9,12,2,5,7,2,4,6,,2,2,1,5,6,38
Infección por virus del papiloma humano(B97.7),,,,,,,,,,,,,1,,1,3,1,4,21,7,28,2,1,3,7,3,10,1,,1,4,2,6,53
Infección por virus Zika(A92.5),,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,0,0,0,1
"Infecciones intestinales por otros organismos y las mal definidas(A04, A08-A09 EXCEPTO A08.0)",89,128,217,650,774,1424,588,633,1221,390,529,919,351,319,670,176,134,310,1493,1538,3031,562,523,1085,1082,943,2025,421,346,767,1095,699,1794,13463
"Infecciones respiratorias agudas(J00-J06, J20, J21 EXCEPTO J02.0 Y J03.0)",495,524,1019,2165,2286,4451,2132,2227,4359,1668,1728,3396,1134,987,2121,499,503,1002,5393,5258,10651,1932,1750,3682,3342,2881,6223,1166,1010,2176,2456,1891,4347,43427
Influenza(J09-J11),,,,,1,1,2,2,4,2,5,7,1,2,3,,,,14,26,40,3,4,7,3,9,12,2,1,3,4,5,9,86
Insuficiencia venosa periférica(I87.2),,,,,,,,,,,,,,,,1,,1,49,14,63,42,13,55,108,28,136,55,23,78,179,71,250,583
Intoxicación aguda por alcohol(F10.0),,,,,,,,,,,,,,,,,,,1,4,5,,,,,1,1,,,,0,0,0,6
Intoxicación alimentaria bacteriana(A05),1,,1,2,10,12,4,4,8,7,2,9,,1,1,,,,,3,3,,1,1,2,2,4,,1,1,2,3,5,45
Intoxicación por monóxido de carbono(T58),,,,,,,,,,,,,,,,,,,,1,1,,,,1,,1,,,,0,0,0,2
"Intoxicación por picadura de alacrán(T63.2, X22)",,,,,,,,1,1,3,2,5,3,4,7,,,,9,9,18,4,1,5,13,8,21,7,3,10,12,8,20,87
Intoxicación por plaguicidas(T60),,,,,2,2,,,,1,,1,,,,,,,,,,,,,1,,1,,,,0,0,0,4
"Intoxicación por ponzoña de animales(T63, X21, X27, EXCEPTO T63.0 Y T63.2)",,,,,,,1,,1,,1,1,,2,2,,,,1,12,13,1,3,4,2,8,10,,5,5,1,2,3,39
Labio y paladar hendido(Q35-Q37),1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3
Leishmaniasis cutánea(B55.1),,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,0,0,0,1
"Mordedura por serpiente(T63.0, X20)",,,,,,,,,,1,1,2,,,,,1,1,,1,1,,,,3,1,4,,,,0,0,0,8
Mordeduras por otros mamíferos(W55),,,,4,1,5,5,3,8,4,3,7,5,6,11,,1,1,15,9,24,5,2,7,15,12,27,4,4,8,17,9,26,124
Mordeduras por perro(W54),,,,9,6,15,24,29,53,20,41,61,20,19,39,9,14,23,67,79,146,33,25,58,54,61,115,23,28,51,42,55,97,658
"Neumonías y bronconeumonías(J12-J18 EXCEPTO J18.2, J13 y J14)",3,1,4,3,4,7,,5,5,1,1,2,3,1,4,1,2,3,23,23,46,6,8,14,22,25,47,8,23,31,107,133,240,403
Obesidad(E66),1,,1,16,21,37,71,87,158,163,188,351,111,97,208,32,25,57,182,116,298,104,69,173,149,112,261,80,39,119,79,68,147,1810
Otitis media aguda(H65.0-H65.1),8,7,15,30,36,66,42,38,80,40,41,81,26,37,63,13,16,29,94,76,170,45,41,86,71,55,126,23,20,43,50,43,93,852
"Otras helmintiasis(B65-B67, B70-B76, B78, B79, B81-B83 EXCEPTO B73 y B75)",3,3,6,50,55,105,92,98,190,99,96,195,47,34,81,10,7,17,90,54,144,37,25,62,74,54,128,28,28,56,59,44,103,1087
"Otras hepatitis víricas(B17-B19 EXCEPTO B17.1, B18.2)",,,,,,,,,,,,,,,,1,,1,2,1,3,,,,,1,1,,1,1,2,0,2,8
"Otras infecciones intestinales debidas a protozoarios(A07.0, A07.2, A07.9)",,,,1,1,2,,2,2,1,1,2,,1,1,,,,3,5,8,2,,2,5,6,11,1,2,3,1,1,2,33
Otras salmonelosis(A02),,,,,,,,,,7,3,10,6,2,8,4,1,5,16,14,30,8,3,11,19,8,27,7,5,12,8,9,17,120
Parotiditis infecciosa(B26),,,,1,2,3,4,7,11,2,2,4,1,,1,,,,8,2,10,2,,2,2,2,4,1,1,2,2,1,3,40
Peatón lesionado en accidente de transporte(V01-V09),1,,1,1,,1,1,,1,,,,1,,1,,,,3,,3,2,,2,,1,1,1,1,2,2,4,6,18
Quemaduras(T20-T32),1,,1,8,11,19,9,10,19,15,14,29,11,5,16,11,6,17,93,114,207,34,50,84,62,58,120,29,25,54,60,37,97,663
Shigelosis(A03),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
Sífilis adquirida(A51-A53),,,,,,,,,,,,,,,,,1,1,4,1,5,,,,,1,1,,,,0,0,0,7
Sífilis congénita(A50),,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
"Síndrome meníngeo(G00-G03 EXCEPTO G00.0, G00.1)",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,3
Toxoplasmosis(B58),,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,0,1,1,2
Tricomoniasis urogenital(A59.0),,,,,,,,,,,,,,,,1,,1,1,,1,,,,,,,,,,0,0,0,2
Tripanosomiasis americana (enfermedad de Chagas) crónica(B57.2-B57.5),,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,,,,0,0,0,2
"Tuberculosis otras formas(A17.1, A17.8, A17.9, A18-A19)",,,,,,,,1,1,1,,1,,1,1,,1,1,2,1,3,2,1,3,,1,1,1,1,2,1,1,2,15
Tuberculosis respiratoria(A15-A16),,,,,,,,,,,,,,1,1,,,,5,5,10,,2,2,7,8,15,2,12,14,11,16,27,69
Tumor maligno de la mama(C50),,,,,,,,,,1,,1,3,,3,1,,1,23,,23,19,,19,47,,47,26,,26,58,3,61,181
Tumor maligno del cuello del útero(C53),,,,,,,,,,,,,,,,,,,7,,7,2,,2,2,,2,2,,2,11,0,11,24
"Úlceras, gastritis y duodenitis(K25-K29)",,,,6,8,14,26,26,52,92,75,167,130,82,212,71,56,127,403,252,655,167,94,261,226,162,388,100,88,188,275,193,468,2532
Varicela(B01),1,2,3,10,15,25,9,8,17,1,6,7,3,,3,2,1,3,3,9,12,2,3,5,1,1,2,1,,1,1,0,1,79
Violencia intrafamiliar(Y07.0-Y07.2),,,,,,,,,,,,,,1,1,,,,2,,2,,,,,,,,,,0,0,0,3
Vulvovaginitis(N76),2,,2,,,,7,,7,7,,7,6,,6,11,,11,135,,135,51,,51,75,,75,28,,28,36,0,36,358
Total general,672,763,1435,3456,3570,7026,3929,3814,7743,3469,3513,6982,2982,2424,5406,1611,1261,2872,17246,15497,32743,6896,5861,12757,12496,10161,22657,5249,4136,9385,13492,9765,23257,132263
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: SINAVE/PEMEX. Cubos dinámicos. SUIVE 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Dirección Corporativa de Administración y Servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Subdirección de Servicios de Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Gerencia de Prevención Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Morbilidad en Petróleos Mexicanos 2022 (casos nuevos notificados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casos,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De 00 años,,,De 01 a 04 años,,Total De 01 a 04 años,De 05 a 09 años,,Total De 05 a 09 años,De 10 a 14 años,,Total De 10 a 14 años,De 15 a 19 años,,Total De 15 a 19 años,De 20 a 24 años,,Total De 20 a 24 años,De 25 a 44 años,,Total De 25 a 44 años,De 45 a 49 años,,Total De 45 a 49 años,De 50 a 59 años,,Total De 50 a 59 años,De 60 a 64 años,,Total De 60 a 64 años,De 65 y más años,,Total De 65 y más años,Total
Padecimiento,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,
Absceso hepático amebiano(A06.4),,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,0,0,0,1
"Accidentes de transporte en vehículos con motor(V20-V29, V40-V79)",1,,1,1,2,3,7,4,11,7,12,19,11,36,47,5,15,20,96,115,211,18,27,45,26,46,72,3,14,17,11,14,25,471
"Amebiasis intestinal(A06.0-A06.3, A06.9)",3,1,4,14,15,29,17,26,43,10,19,29,8,6,14,4,5,9,18,19,37,7,8,15,15,12,27,7,6,13,27,7,34,254
"Anorexia, bulimia y otros trastornos alimentarios(F50)",,,,1,2,3,2,4,6,5,2,7,5,,5,2,,2,2,,2,,,,,,,,1,1,2,2,4,30
Ascariasis(B77),,,,,2,2,2,1,3,2,,2,,,,,,,,,,,,,,,,1,,1,1,0,1,9
"Asma(J45, J46)",6,7,13,107,186,293,131,186,317,52,81,133,28,22,50,15,4,19,77,39,116,159,13,172,63,30,93,23,7,30,60,23,83,1319
Brucelosis(A23),,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,0,0,0,1
Candidiasis urogenital(B37.3-B37.4),,,,,,,,,,3,,3,4,2,6,12,,12,80,3,83,22,,22,32,2,34,14,1,15,24,4,28,203
Chancro blando(A57),,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,0,1,1,3
Cirrosis hepática alcohólica(K70.3),,,,,,,,,,,,,,,,,,,,1,1,,,,,3,3,,4,4,2,6,8,16
Cólera(A00),,,,,,,,,,,,,,,,1,,1,2,1,3,,1,1,2,2,4,,,,4,2,6,15
Conjuntivitis epidémica aguda hemorrágica(B30.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
Conjuntivitis(H10),35,45,80,127,179,306,184,204,388,139,181,320,150,98,248,54,52,106,744,764,1508,321,319,640,759,638,1397,367,237,604,862,673,1535,7132
"Contacto traumático con avispas, avispones y abejas(X23)",,,,1,1,2,2,2,4,1,1,2,1,3,4,2,3,5,3,4,7,2,3,5,2,7,9,1,1,2,2,2,4,44
COVID-19(U07.1-U07.2),34,44,78,134,174,308,286,291,577,392,441,833,393,364,757,325,258,583,6158,7128,13286,2169,2683,4852,3422,4320,7742,931,983,1914,1796,1725,3521,34451
Dengue con signos de alarma(A97.1),2,,2,1,1,2,4,5,9,15,16,31,12,15,27,5,2,7,18,18,36,8,5,13,8,13,21,5,5,10,8,10,18,176
Dengue grave(A97.2),,,,,,,,1,1,,,,3,1,4,,,,1,,1,1,1,2,,2,2,1,3,4,2,4,6,20
"Dengue no grave(A97.0, A97.9)",1,1,2,13,23,36,28,40,68,60,59,119,26,44,70,2,9,11,71,93,164,26,26,52,44,41,85,10,6,16,28,17,45,668
Depresión(F32),,,,,,,,1,1,15,3,18,29,4,33,12,7,19,34,22,56,20,7,27,37,12,49,12,4,16,39,29,68,287
Desnutrición leve(E44.1),2,1,3,9,5,14,6,6,12,4,4,8,3,,3,,1,1,,,,,,,,,,,,,4,2,6,47
Desnutrición moderada(E44.0),,,,3,3,6,,,,2,1,3,1,,1,,,,,,,1,,1,1,1,2,,,,5,2,7,20
Desnutrición severa(E40-E43),1,,1,,1,1,,,,,,,,,,,,,1,,1,,,,1,1,2,2,2,4,5,2,7,16
Diabetes mellitus en el embarazo(O24.4),,,,,,,,,,,,,,,,3,,3,48,,48,,,,,,,,,,0,0,0,51
Diabetes mellitus tipo 1(E10),,,,,,,,,,1,2,3,,,,,1,1,,,,,,,,,,,,,0,0,0,4
Diabetes mellitus tipo 2(E11-E14),,,,,,,,,,2,13,15,5,4,9,9,3,12,252,289,541,209,173,382,487,429,916,162,197,359,308,319,627,2861
Displasia cervical leve y moderada(N87.0-N87.1),,,,,,,,,,,,,1,,1,2,,2,66,,66,15,,15,18,,18,12,,12,13,0,13,127
"Displasia cervical severa y CaCu in situ(N87.2, D06)",,,,,,,,,,,,,,,,3,,3,20,,20,4,,4,9,,9,3,,3,6,0,6,45
"Edema, proteinuria y transtornos hipertensivos en el embarazo, parto y puerperio(O10-O16)",,,,,,,,,,,,,,,,,,,8,,8,,,,,,,,,,0,0,0,8
"Efectos del calor y de la luz(T67, X30)",,,,,,,,,,1,1,2,,,,,,,3,,3,1,2,3,1,1,2,1,,1,1,0,1,12
Enfermedad alcohólica del hígado(K70 EXCEPTO K70.3),,,,,,,,,,,,,,,,,,,,4,4,1,11,12,2,24,26,3,12,15,2,29,31,88
"Enfermedad cerebrovascular(I60-I67, I69)",,,,,,,,2,2,1,1,2,,1,1,,,,25,16,41,21,9,30,45,98,143,54,74,128,428,391,819,1166
Enfermedad de Alzheimer(G30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,10,10
Enfermedad de Parkinson(G20),,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,3,4,9,12,21,27
Enfermedad febril exantemática(U97),,,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,0,0,0,2
